Timestamp,Sensor_1,Sensor_2
20:53:07,ets Jul 29 2019 12:21:46
20:53:07,rst:0x1 (POWERON_RESET),boot:0x13 (SPI_FAST_FLASH_BOOT)
20:53:07,configsip: 0, SPIWP:0xee
20:53:07,clk_drv:0x00,q_drv:0x00,d_drv:0x00,cs0_drv:0x00,hd_drv:0x00,wp_drv:0x00
20:53:07,mode:DIO, clock div:1
20:53:07,load:0x3fff0030,len:4876
20:53:07,ho 0 tail 12 room 4
20:53:07,load:0x40078000,len:16560
20:53:07,load:0x40080400,len:3500
20:53:07,entry 0x400805b4
20:53:07,0.30, 297.18
20:53:08,0.30, 297.20
20:53:08,0.30, 297.20
20:53:08,0.29, 297.20
20:53:08,0.30, 297.24
20:53:08,0.30, 297.20
20:53:08,0.30, 297.20
20:53:08,0.30, 297.18
20:53:08,0.29, 297.24
20:53:08,0.30, 297.20
20:53:08,0.30, 297.26
20:53:09,0.29, 297.18
20:53:09,0.29, 297.14
20:53:09,0.30, 297.26
20:53:09,0.30, 297.18
20:53:09,0.30, 297.20
20:53:09,0.30, 297.24
20:53:09,0.30, 297.20
20:53:09,0.30, 297.24
20:53:09,0.30, 297.18
20:53:10,0.30, 297.18
20:53:10,0.30, 297.18
20:53:10,0.30, 297.20
20:53:10,0.27, 297.30
20:53:10,0.27, 297.20
20:53:10,0.27, 297.20
20:53:10,0.30, 297.20
20:53:10,0.30, 297.20
20:53:10,0.30, 297.20
20:53:10,0.30, 297.20
20:53:11,0.30, 297.20
20:53:11,0.30, 297.18
20:53:11,0.29, 297.20
20:53:11,0.30, 297.20
20:53:11,0.30, 297.20
20:53:11,0.30, 297.20
20:53:11,0.30, 297.26
20:53:11,0.29, 297.20
20:53:11,0.30, 297.24
20:53:12,0.30, 297.12
20:53:12,0.30, 297.20
20:53:12,0.30, 297.14
20:53:12,0.30, 297.20
20:53:12,0.30, 297.20
20:53:12,0.30, 297.14
20:53:12,0.30, 297.24
20:53:12,0.30, 297.18
20:53:12,0.30, 297.24
20:53:12,0.30, 297.20
20:53:13,0.30, 297.18
20:53:13,0.30, 297.14
20:53:13,0.30, 297.20
20:53:13,0.30, 297.14
20:53:13,0.29, 297.14
20:53:13,0.29, 297.18
20:53:13,0.27, 297.20
20:53:13,0.30, 297.18
20:53:13,0.29, 297.20
20:53:13,0.29, 297.24
20:53:14,0.30, 297.18
20:53:14,0.30, 297.14
20:53:14,0.30, 297.24
20:53:14,0.27, 297.20
20:53:14,0.29, 297.20
20:53:14,0.29, 297.20
20:53:14,3.14, -1
20:53:14,0.29, 297.14
20:53:14,0.29, 297.20
20:53:15,0.29, 297.18
20:53:15,0.36, 297.18
20:53:15,0.36, 297.20
20:53:15,0.29, 297.24
20:53:15,0.57, 297.24
20:53:15,0.29, 297.20
20:53:15,0.29, 297.20
20:53:15,3.13, -1
20:53:15,0.36, 297.24
20:53:16,0.29, 297.18
20:53:16,0.29, 297.24
20:53:16,0.29, 297.24
20:53:16,0.29, 297.30
20:53:16,0.29, 297.30
20:53:16,0.29, 297.18
20:53:16,0.29, 297.24
20:53:16,0.45, 297.30
20:53:16,0.29, 297.24
20:53:16,0.29, 297.30
20:53:17,0.36, 297.30
20:53:17,0.29, 297.30
20:53:17,0.29, 297.18
20:53:17,0.29, 297.20
20:53:17,0.29, 297.32
20:53:17,0.36, 297.30
20:53:17,0.45, 297.24
20:53:17,0.45, 297.20
20:53:17,0.56, 297.30
20:53:17,0.29, 297.20
20:53:18,0.29, 297.20
20:53:18,0.58, 297.20
20:53:18,0.29, 297.20
20:53:18,0.29, 297.12
20:53:18,0.29, 297.18
20:53:18,0.58, 297.20
20:53:18,0.29, 297.20
20:53:18,0.29, 297.20
20:53:18,0.58, 297.12
20:53:19,0.29, 297.14
20:53:19,0.36, 297.20
20:53:19,0.29, 297.12
20:53:19,0.57, 297.18
20:53:19,0.57, 297.18
20:53:19,0.29, 297.18
20:53:19,0.29, 297.20
20:53:19,0.29, 297.14
20:53:19,0.29, 297.20
20:53:19,0.29, 297.18
20:53:20,0.36, 297.24
20:53:20,0.58, 297.14
20:53:20,0.45, 297.18
20:53:20,0.45, 297.14
20:53:20,0.36, 297.18
20:53:20,0.36, 297.26
20:53:20,0.29, 297.30
20:53:20,0.29, 297.18
20:53:20,0.29, 297.14
20:53:21,0.29, 297.14
20:53:21,0.29, 297.18
20:53:21,0.29, 297.32
20:53:21,0.29, 297.26
20:53:21,0.29, 297.20
20:53:21,0.36, 297.30
20:53:21,0.30, 297.32
20:53:21,0.36, 297.38
20:53:21,0.46, 297.30
20:53:21,0.29, 297.36
20:53:22,0.38, 297.32
20:53:22,0.44, 297.36
20:53:22,0.38, 297.36
20:53:22,0.55, 297.42
20:53:22,0.54, 297.30
20:53:22,0.56, 297.30
20:53:22,0.56, 297.36
20:53:22,0.56, 297.38
20:53:22,0.56, 297.32
20:53:23,0.56, 297.36
20:53:23,0.46, 297.30
20:53:23,0.57, 297.30
20:53:23,0.57, 297.38
20:53:23,0.46, 297.36
20:53:23,0.36, 297.30
20:53:23,0.58, 297.32
20:53:23,0.36, 297.30
20:53:23,0.36, 297.26
20:53:23,0.36, 297.30
20:53:24,0.36, 297.20
20:53:24,0.38, 297.32
20:53:24,0.38, 297.32
20:53:24,0.45, 297.30
20:53:24,0.38, 297.24
20:53:24,3.14, -1
20:53:24,0.38, 297.36
20:53:24,0.57, 297.36
20:53:24,0.45, 297.30
20:53:25,0.44, 297.24
20:53:25,0.44, 297.30
20:53:25,0.38, 297.36
20:53:25,0.45, 297.32
20:53:25,0.60, 297.24
20:53:25,0.59, 297.20
20:53:25,0.63, 297.30
20:53:25,0.58, 297.30
20:53:25,0.57, 297.30
20:53:25,0.59, 297.30
20:53:26,0.60, 297.36
20:53:26,0.59, 297.36
20:53:26,0.63, 297.32
20:53:26,0.63, 297.30
20:53:26,0.38, 297.30
20:53:26,0.66, 297.26
20:53:26,0.65, 297.30
20:53:26,0.62, 297.38
20:53:26,0.60, 297.20
20:53:27,0.65, 297.30
20:53:27,0.67, 297.26
20:53:27,0.62, 297.26
20:53:27,0.65, 297.26
20:53:27,0.59, 297.30
20:53:27,0.59, 297.26
20:53:27,0.45, 297.26
20:53:27,0.45, 297.26
20:53:27,0.45, 297.26
20:53:28,0.45, 297.32
20:53:28,0.45, 297.26
20:53:28,0.61, 297.30
20:53:28,0.45, 297.26
20:53:28,0.45, 297.30
20:53:28,0.45, 297.32
20:53:28,3.13, -1
20:53:28,0.45, 297.30
20:53:28,0.60, 297.24
20:53:28,0.65, 297.30
20:53:29,0.63, 297.26
20:53:29,0.63, 297.30
20:53:29,0.59, 297.30
20:53:29,0.58, 297.30
20:53:29,0.59, 297.32
20:53:29,0.61, 297.38
20:53:29,0.59, 297.30
20:53:29,0.59, 297.36
20:53:29,0.59, 297.36
20:53:30,0.59, 297.32
20:53:30,0.59, 297.38
20:53:30,0.60, 297.36
20:53:30,0.59, 297.38
20:53:30,0.59, 297.32
20:53:30,0.44, 297.38
20:53:30,0.60, 297.32
20:53:30,0.45, 297.30
20:53:30,0.45, 297.36
20:53:30,0.44, 297.36
20:53:31,0.44, 297.38
20:53:31,0.44, 297.26
20:53:31,0.61, 297.36
20:53:31,0.44, 297.32
20:53:31,0.60, 297.30
20:53:31,0.61, 297.36
20:53:31,0.44, 297.30
20:53:31,0.61, 297.32
20:53:31,0.57, 297.32
20:53:32,0.45, 297.36
20:53:32,0.66, 297.26
20:53:32,0.65, 297.32
20:53:32,0.61, 297.38
20:53:32,0.59, 297.32
20:53:32,0.64, 297.32
20:53:32,0.57, 297.36
20:53:32,0.61, 297.36
20:53:32,0.62, 297.36
20:53:32,0.61, 297.36
